symbol,date,close,high,low,open,volume
FB,2013-10-07,50.515,51.29,50.4,50.73,57111374
FB,2013-10-08,47.14,50.6,47.08,50.6,135793306
FB,2013-10-09,46.77,47.84,45.26,47.375,147101894
FB,2013-10-10,49.05,49.68,47.83,47.865,99773784
FB,2013-10-11,49.11,49.87,48.79,49.18,58428451
FB,2013-10-14,49.51,49.63,47.91,48.31,68780552
FB,2013-10-15,49.5,51,49.18,49.99,81166571
FB,2013-10-16,51.135,51.24,49.9,50.04,64678247
FB,2013-10-17,52.21,52.22,50.95,51.12,71521899
FB,2013-10-18,54.22,54.825,53.6,54.18,88260093
FB,2013-10-21,53.85,54.81,53.51,54.68,58235283
FB,2013-10-22,52.675,54.76,52.2,54.33,83203892
FB,2013-10-23,51.9,52.25,51.13,51.75,57207154
FB,2013-10-24,52.445,52.84,51.5928,52.38,46775185
FB,2013-10-25,51.95,53.24,51.88,53.18,45085348
FB,2013-10-28,50.229,51.7,49.61,51.54,73472347
FB,2013-10-29,49.395,50.79,49.25,50.73,102143469
FB,2013-10-30,49.01,50.21,48.75,50,127072652
FB,2013-10-31,50.205,52,46.5,47.155,248809006
FB,2013-11-01,49.75,52.09,49.72,50.85,95032876
FB,2013-11-04,48.22,49.75,48.02,49.365,80371218
FB,2013-11-05,50.105,50.18,47.51,47.79,76835006
FB,2013-11-06,49.12,50.45,48.71,50.26,67889337
FB,2013-11-07,47.56,49.87,47.3,49.24,97127618
FB,2013-11-08,47.53,48.65,47.25,47.81,70731178
FB,2013-11-11,46.2,47.53,45.73,47.04,80909626
FB,2013-11-12,46.605,47.37,45.83,46,68195832
FB,2013-11-13,48.71,48.74,46.06,46.23,79245346
FB,2013-11-14,48.99,49.57,48.03,48.7,75117049
FB,2013-11-15,49.01,49.48,48.71,49.11,42452937
FB,2013-11-18,45.83,48.84,45.8,48.47,85909884
FB,2013-11-19,46.36,47,45.72,46.26,75602413
FB,2013-11-20,46.43,47.55,46.31,46.61,53932698
FB,2013-11-21,46.7,47.46,46.685,46.99,34886170
FB,2013-11-22,46.23,47.27,45.96,47.04,40545375
FB,2013-11-25,44.82,46.65,44.04,46.36,82565324
FB,2013-11-26,45.89,46.17,43.55,44.66,82016490
FB,2013-11-27,46.49,46.67,45.53,45.97,44993195
FB,2013-11-29,47.01,47.21,46.5,46.75,22953916
FB,2013-12-02,47.06,47.54,46.26,46.9,50773647
FB,2013-12-03,46.73,47.2,46.29,46.75,32085905
FB,2013-12-04,48.62,48.77,46.26,46.46,60890176
FB,2013-12-05,48.34,48.7,47.87,48.15,43855036
FB,2013-12-06,47.94,49.39,47.71,48.98,42937659
FB,2013-12-09,48.84,48.97,47.74,48.09,36055891
FB,2013-12-10,50.245,50.77,48.54,48.64,68478561
FB,2013-12-11,49.38,50.77,49.01,50.55,65776366
FB,2013-12-12,51.83,52.07,50.66,51.045,92723034
FB,2013-12-13,53.32,53.5,51.34,51.66,82640992
FB,2013-12-16,53.81,54.5,52.91,53.25,85118518
FB,2013-12-17,54.86,55.18,54.24,54.76,78751463
FB,2013-12-18,55.57,55.89,53.75,54.86,76003479
FB,2013-12-19,55.05,55.19,53.95,54.33,89825393
FB,2013-12-20,55.12,55.15,54.23,54.93,239823912
FB,2013-12-23,57.77,58.32,55.45,55.5,98296983
FB,2013-12-24,57.96,58.58,56.91,58.27,46617754
FB,2013-12-26,57.73,58.38,57.37,58.32,55101367
FB,2013-12-27,55.44,57.68,55.25,57.48,60465751
FB,2013-12-30,53.71,55.18,53.43,54.93,68307317
FB,2013-12-31,54.649,54.86,53.91,54.12,43152127
FB,2014-01-02,54.71,55.22,54.19,54.83,43257622
FB,2014-01-03,54.557,55.65,54.53,55.02,38287706
FB,2014-01-06,57.2,57.26,54.05,54.42,68974359
FB,2014-01-07,57.92,58.55,57.22,57.7,77329009
FB,2014-01-08,58.23,58.41,57.23,57.6,56800776
FB,2014-01-09,57.22,58.96,56.65,58.65,92349222
FB,2014-01-10,57.94,58.3,57.06,57.13,42529258
FB,2014-01-13,55.91,58.25,55.38,57.91,63106519
FB,2014-01-14,57.74,57.78,56.1,56.46,37590987
FB,2014-01-15,57.6,58.57,57.27,57.98,33730619
FB,2014-01-16,57.19,58.02,56.83,57.26,34599775
FB,2014-01-17,56.3,57.82,56.07,57.3,40883205
FB,2014-01-21,58.51,58.58,56.5,56.6,48734147
FB,2014-01-22,57.51,59.31,57.1,58.85,61495880
FB,2014-01-23,56.63,56.68,55.6855,56.37,47996403
FB,2014-01-24,54.45,56.42,54.4,56.15,55545338
FB,2014-01-27,53.55,54.9401,51.85,54.73,74142331
FB,2014-01-28,55.14,55.28,54,54.02,48364998
FB,2014-01-29,53.53,54.95,53.19,54.61,98089932
FB,2014-01-30,61.08,62.5,60.46,62.12,150438699
FB,2014-01-31,62.57,63.37,60.17,60.47,87930298
FB,2014-02-03,61.48,63.77,60.7,63.03,75105994
FB,2014-02-04,62.75,63.14,61.82,62.05,46064897
FB,2014-02-05,62.19,63.16,61.27,62.74,53032420
FB,2014-02-06,62.16,62.78,61.46,61.46,42153754
FB,2014-02-07,64.32,64.57,62.22,62.27,60835746
FB,2014-02-10,63.548,64.49,63.473,64.3,43736562
FB,2014-02-11,64.851,65,63.35,63.75,45746832
FB,2014-02-12,64.45,65.06,64.05,64.92,47409857
FB,2014-02-13,67.33,67.33,64.05,64.18,62013396
FB,2014-02-14,67.09,67.58,66.72,67.5,36786427
FB,2014-02-18,67.3,67.5397,66.07,66.94,43862297
FB,2014-02-19,68.06,69.08,67,67.05,64258631
FB,2014-02-20,69.63,70.11,65.727,67.73,131043748
FB,2014-02-21,68.59,69.96,68.45,69.69,70991892
FB,2014-02-24,70.78,71.44,68.54,68.74,76951946
FB,2014-02-25,69.85,71,69.45,70.95,52189031
FB,2014-02-26,69.26,71.22,68.85,70.19,55400399
FB,2014-02-27,68.94,70.01,68.87,69.34,41695855
FB,2014-02-28,68.46,69.88,67.38,69.47,66900863
FB,2014-03-03,67.41,68.05,66.51,66.96,56811349
FB,2014-03-04,68.8,68.9,67.62,68.66,42164222
FB,2014-03-05,71.57,71.97,69.62,69.69,74649486
FB,2014-03-06,70.84,71.89,70.25,71.88,46126260
FB,2014-03-07,69.8,71.18,69.47,71.08,38985763
FB,2014-03-10,72.03,72.15,70.51,70.77,59949746
FB,2014-03-11,70.1,72.59,69.96,72.5,59615238
FB,2014-03-12,70.8799,71.35,69,69.86,46400431
FB,2014-03-13,68.83,71.35,68.15,71.29,57091157
FB,2014-03-14,67.72,69.43,67.46,68.49,48226824
FB,2014-03-17,68.7399,68.95,66.62,68.18,52196699
FB,2014-03-18,69.19,69.6,68.3,68.76,40827226
FB,2014-03-19,68.24,69.29,67.465,69.17,43980558
FB,2014-03-20,66.97,68.23,66.82,68.01,44438500
FB,2014-03-21,67.24,67.92,66.1786,67.53,60041228
FB,2014-03-24,64.1,67.36,63.36,67.19,85695872
FB,2014-03-25,64.89,66.19,63.78,64.89,68785500
FB,2014-03-26,60.385,64.95,60.37,64.74,97689774
FB,2014-03-27,60.97,61.9,57.98,60.51,112649694
FB,2014-03-28,60.01,61.95,59.335,61.34,67051528
FB,2014-03-31,60.24,61.52,59.87,60.78,53011205
FB,2014-04-01,62.62,62.66,60.24,60.46,59291210
FB,2014-04-02,62.72,63.91,62.21,63.21,66144812
FB,2014-04-03,59.49,63.17,59.13,62.55,83859330
FB,2014-04-04,56.749,60.2,56.32,59.94,125465774
FB,2014-04-07,56.95,58,55.44,55.9,108487569
FB,2014-04-08,58.1901,58.71,57.17,57.68,78835935
FB,2014-04-09,62.41,62.4558,59.1882,59.63,100215307
FB,2014-04-10,59.16,63.18,58.68,63.08,114987616
FB,2014-04-11,58.53,60.31,57.31,57.6,91451960
FB,2014-04-14,58.89,60.45,57.78,60.09,72324603
FB,2014-04-15,59.09,59.68,55.88,59.29,108622706
FB,2014-04-16,59.72,60.19,57.74,59.79,78773521
FB,2014-04-17,58.94,60.58,58.72,59.3,88040346
FB,2014-04-21,61.24,61.24,59.15,59.46,60363619
FB,2014-04-22,63.0301,63.44,62.22,62.65,60631312
FB,2014-04-23,61.36,63.48,61.26,63.45,96564750
FB,2014-04-24,60.87,63.65,59.77,63.6,138769345
FB,2014-04-25,57.71,60.01,57.57,59.97,92501529
FB,2014-04-28,56.14,58.31,54.66,58.05,107757756
FB,2014-04-29,58.15,58.28,55.84,56.09,75557202
FB,2014-04-30,59.78,59.85,57.16,57.58,76093004
FB,2014-05-01,61.15,62.28,60.21,60.43,82428606
FB,2014-05-02,60.46,61.89,60.18,61.3,54189197
FB,2014-05-05,61.22,61.35,59.18,59.67,46057411
FB,2014-05-06,58.53,61.15,58.49,60.98,55900809
FB,2014-05-07,57.39,59.3,56.26,58.77,78587247
FB,2014-05-08,56.76,58.82,56.5,57.23,61251053
FB,2014-05-09,57.24,57.65,56.38,56.85,52583858
FB,2014-05-12,59.83,59.9,57.98,57.98,48575487
FB,2014-05-13,59.83,60.89,59.51,59.66,48525476
FB,2014-05-14,59.23,60.45,58.95,59.53,47428583
FB,2014-05-15,57.919,59.38,57.52,59.26,56813940
FB,2014-05-16,58.0199,58.45,57.31,58.31,47933075
FB,2014-05-19,59.21,59.56,57.57,57.89,43033925
FB,2014-05-20,58.56,60.19,58.18,59.5,53931469
FB,2014-05-21,60.49,60.5,58.25,58.56,58991505
FB,2014-05-22,60.52,61.48,60.4,60.94,54200116
FB,2014-05-23,61.351,61.45,60.15,60.41,38293993
FB,2014-05-27,63.48,63.51,61.57,61.62,55681663
FB,2014-05-28,63.51,64.14,62.62,63.39,47795088
FB,2014-05-29,63.83,64.3,63.51,63.84,42699670
FB,2014-05-30,63.3,64.17,62.56,63.95,45283577
FB,2014-06-02,63.08,63.59,62.05,63.23,35995537
FB,2014-06-03,62.87,63.42,62.32,62.62,32216707
FB,2014-06-04,63.34,63.59,62.07,62.45,36513991
FB,2014-06-05,63.186,64.36,62.82,63.66,47352368
FB,2014-06-06,62.5,63.48,62.15,63.37,42442096
FB,2014-06-09,62.88,63.34,61.79,62.4,37617413
