symbol,date,close,high,low,open,volume
ISRG,2013-10-07,126.9965,127.4365,120.7632,120.9199,2308551
ISRG,2013-10-08,127.0765,133.7665,126.9865,127.0965,3855606
ISRG,2013-10-09,129.7199,130.5425,127.6332,127.8165,2253477
ISRG,2013-10-10,129.0699,130.8099,128.1352,130.7932,1196967
ISRG,2013-10-11,130.0599,130.7299,127.9232,128.4032,577677
ISRG,2013-10-14,133.8932,135.1499,128.4035,129.3799,1455738
ISRG,2013-10-15,130.0699,134.5899,129.8932,133.7199,1256025
ISRG,2013-10-16,133.7759,134.4865,130.9532,131.0165,1262691
ISRG,2013-10-17,133.0432,136.2962,131.7465,133.6665,3123987
ISRG,2013-10-18,125.5079,128.4999,123.3299,123.4065,6370686
ISRG,2013-10-21,124.0065,125.5232,121.9999,125.5232,2632206
ISRG,2013-10-22,122.7662,124.6272,122.4865,123.8032,1682124
ISRG,2013-10-23,124.9932,125.6265,121.8565,122.2632,1487613
ISRG,2013-10-24,123.4299,126.2565,121.9999,125.7532,974436
ISRG,2013-10-25,123.0432,123.7362,121.6932,123.2965,1167603
ISRG,2013-10-28,125.1999,125.8765,122.5699,123.3332,1608576
ISRG,2013-10-29,125.8899,127.0699,124.2032,124.9599,1994478
ISRG,2013-10-30,124.9032,126.3332,124.5332,126.3332,1052127
ISRG,2013-10-31,123.8332,126.1265,123.4132,124.9999,1485855
ISRG,2013-11-01,124.0099,124.704,122.9165,124.6165,1296162
ISRG,2013-11-04,127.4099,128.2265,124.0832,124.2799,1639629
ISRG,2013-11-05,124.9599,127.2975,124.9099,126.8065,1223973
ISRG,2013-11-06,125.7232,126.0899,124.7115,125.3365,582960
ISRG,2013-11-07,126.5265,126.7199,125.2765,126.6165,930069
ISRG,2013-11-08,129.9432,130.2199,125.6999,126.2132,1195071
ISRG,2013-11-11,131.7939,132.6665,129.2032,130.2765,1637274
ISRG,2013-11-12,132.0132,132.8499,130.4999,130.6899,1366638
ISRG,2013-11-13,132.0845,132.5765,130.5699,131.9999,741345
ISRG,2013-11-14,132.4232,132.6665,131.7139,132.3432,426327
ISRG,2013-11-15,131.4799,132.2707,129.2215,131.1665,1054467
ISRG,2013-11-18,130.9899,132.9299,129.9599,131.4965,888024
ISRG,2013-11-19,131.5265,132.7832,130.4165,131.1165,428718
ISRG,2013-11-20,131.5032,132.6565,131.0246,131.8865,417999
ISRG,2013-11-21,130.1732,131.7032,129.4065,131.4232,641904
ISRG,2013-11-22,129.9032,130.6092,129.0065,129.6999,425523
ISRG,2013-11-25,128.1665,130.1132,127.7032,129.6432,591192
ISRG,2013-11-26,124.8365,127.9274,124.4465,127.1799,1423251
ISRG,2013-11-27,126.0032,126.1999,124.6999,125.4832,652317
ISRG,2013-11-29,125.6332,126.3299,124.7599,126.1399,415653
ISRG,2013-12-02,125.1599,126.1665,124.7932,126.0732,586026
ISRG,2013-12-03,124.2699,125.1697,124.0399,124.6599,819825
ISRG,2013-12-04,123.5599,124.1599,120.7399,122.4965,2328273
ISRG,2013-12-05,122.6132,123.9832,121.7832,123.6265,809364
ISRG,2013-12-06,125.7932,127.1999,124.5632,126.912,1533687
ISRG,2013-12-09,125.5299,125.8615,124.1666,125.4632,1080990
ISRG,2013-12-10,126.5065,127.1732,125.0332,125.5299,958419
ISRG,2013-12-11,122.2065,126.2065,121.5732,126.2065,1708557
ISRG,2013-12-12,122.7665,123.6199,121.6765,121.8132,1449546
ISRG,2013-12-13,120.9799,123.6765,120.8465,122.2565,1270764
ISRG,2013-12-16,120.7599,123.2181,120.6665,121.3232,1533867
ISRG,2013-12-17,118.6432,121.3332,117.0465,120.2865,2253309
ISRG,2013-12-18,120.4132,120.9365,118.1665,118.8399,1657818
ISRG,2013-12-19,119.6999,120.5132,118.4165,119.8032,1229739
ISRG,2013-12-20,121.4499,121.6565,118.9999,119.7232,3164133
ISRG,2013-12-23,123.7365,124.3632,121.2065,121.6699,1434444
ISRG,2013-12-24,123.6532,124.8332,123.0465,123.7399,556890
ISRG,2013-12-26,124.9265,125.2499,123.3332,124.1165,1191639
ISRG,2013-12-27,126.6632,127.8465,124.4899,124.7532,1261722
ISRG,2013-12-30,127.6899,127.8499,125.9761,126.6465,979521
ISRG,2013-12-31,128.0265,128.1299,126.0299,127.3999,1060662
ISRG,2014-01-02,126.6699,127.8799,126.0899,127.8799,1382829
ISRG,2014-01-03,124.4865,127.5565,124.2465,126.7832,1034883
ISRG,2014-01-06,123.6465,125.754,123.3432,124.3199,1183680
ISRG,2014-01-07,124.5865,125.6299,123.5832,123.7965,1164444
ISRG,2014-01-08,126.8199,126.8765,124.6899,124.8032,1495281
ISRG,2014-01-09,128.9265,129.9499,126.5699,126.9565,1676343
ISRG,2014-01-10,140.0499,141.5265,128.4232,128.8232,4489407
ISRG,2014-01-13,131.0239,138.2482,130.6732,137.3565,3272316
ISRG,2014-01-14,139.9599,147.9965,138.6465,146.8432,5937471
ISRG,2014-01-15,137.5999,140.3599,134.0599,140.1865,2918511
ISRG,2014-01-16,138.1299,139.4365,136.1632,138.1599,852216
ISRG,2014-01-17,143.3799,143.7465,137.9965,138.5932,2811546
ISRG,2014-01-21,146.4599,149.1665,144.3332,148.3132,2350161
ISRG,2014-01-22,146.3732,146.4999,144.3332,146.0532,1181439
ISRG,2014-01-23,146.3332,147.7965,144.8499,146.3332,2543850
ISRG,2014-01-24,136.9199,142.1732,135.4165,137.4499,4491585
ISRG,2014-01-27,136.2099,138.7999,136.0799,137.0665,1626627
ISRG,2014-01-28,136.5132,138.2899,135.4765,135.6232,1214304
ISRG,2014-01-29,138.3999,139.8532,135.0065,135.0065,1836708
ISRG,2014-01-30,138.7832,140.6765,138.4632,138.8299,1267881
ISRG,2014-01-31,135.8599,137.8079,135.3465,136.6399,1646067
ISRG,2014-02-03,133.7232,136.3299,132.2199,135.1232,1998222
ISRG,2014-02-04,136.3665,137.9865,134.1549,134.4365,1443729
ISRG,2014-02-05,138.3665,139.1932,135.5799,136.2332,1198041
ISRG,2014-02-06,138.2632,139.9999,137.8432,137.8432,1389009
ISRG,2014-02-07,139.2265,139.3332,136.3299,137.9999,1212246
ISRG,2014-02-10,143.2199,144.2799,138.3565,138.6899,1329561
ISRG,2014-02-11,142.1499,143.8232,140.4099,141.3732,1154718
ISRG,2014-02-12,146.1232,146.2265,142.3999,142.9099,1181448
ISRG,2014-02-13,147.5132,147.6432,144.4951,145.9432,1335159
ISRG,2014-02-14,146.2765,147.3199,143.7532,144.0265,1724343
ISRG,2014-02-18,148.0299,148.3299,144.7499,146.7699,951201
ISRG,2014-02-19,146.6532,149.2499,146.2832,146.7265,739809
ISRG,2014-02-20,146.0132,147.3432,144.4399,146.9932,758496
ISRG,2014-02-21,145.0632,147.1665,144.9165,146.3832,824685
ISRG,2014-02-24,146.1799,147.2299,144.7277,145.0632,1091358
